Tour Name,Type,Rating,Number of reviews,Price,Duration (hrs)
Ramen Tasting - Mini Bowl Ramen Tour,Food & Drink,5.0,19,70.95,3.0
Shinjuku Izakaya and Golden gai bar hopping tour,Spring Break,5.0,16,109.0,3.0
Tasting ALL TYPES of Sake with seminar,Food & Drink,5.0,84,130.32,1.5
"REAL, All-Inclusive Tokyo Food and Drink Adventure (leave the tourists behind)",Food & Drink,4.5,6,108.6,3.0
2-Hour Genuine Samurai Experience Through Kendo in Tokyo,Unique Experiences,5.0,44,250.0,2.0
Tokyo Private Custom Tour with Local Guide,Photo Shoots,5.0,2,1158.39,5.0
Tuna Cutting Show in Tokyo & Unlimited Sushi & Sake,Food & Drink,5.0,8,110.0,2.5
Private Car Mt Fuji and Gotemba Outlet in One Day from Tokyo,Shopping Tours,5.0,18,1194.59,10.5
2-Hour Tokyo Night Small Group Guided Cycling Tour,Bike Tours,5.0,39,86.88,2.0
Sumo Wrestling Tournament Experience in Tokyo,Private and Luxury,5.0,24,152.04,3.5
"Private tour: Chartered car from Tokyo to Nikko, Toshogu, Edo Wonderland etc",Bus Tours,5.0,6,135.12,6.0
Ebisu Local Food Tour: Shibuya's Most Popular Neighborhood,Unique Experiences,5.0,7,115.84,3.0
Edo Tokyo & Japanese Culture Tour with Government Licensed Guide,Public Transportation Tours,5.0,82,99.91,6.0
Secret Food Tours Tokyo w/ Private Tour Option,Food & Drink,5.0,8,108.6,3.5
Shinjuku Food and Drink Walking Tour,Food & Drink,5.0,23,96.79,4.5
Fish Market Food Tour in Tokyo,Food & Drink,5.0,1,56.47,2.5
Mt. Fuji & Hakone 1 Day Bus Tour From Tokyo Station Area,Historical Tours,4.5,37,868.79,6.0
Tokyo Walking Tours with a Local Guide: Private and Customized,Historical Tours,5.0,22,95.0,4.5
Let's experience calligraphy in YANAKA / Taito-ku / TOKYO !!,Japanese Lessons,5.0,18,65.16,1.0
"1 Day Private Tour Mt. Fuji, Hakone and Lake Ashi with English speaking driver.",Bus Tours,5.0,20,112.22,5.5
Travel Tokyo with Your Own Personal Photographer,Shopping Tours,5.0,31,651.6,1.0
Yanaka Historical Walking Tour in Tokyo's Old Town,Food & Drink,4.5,4,116.0,3.5
1-Day Tokyo Bus Tour with Lunch,Bus Tours,5.0,1,930.33,6.0
Mt. Fuji Private Sightseeing Tour with local: from Tokyo,4WD Tours,5.0,3,3000.0,9.5
Japanese Cooking and Udon Making Class in Tokyo with Masako,Dining Experiences,5.0,11,217.05,2.5
Mt.Fuji and Hakone Tour,Bus Tours,5.0,40,47.06,9.0
"4 Day Tour - Mount. Fuji, Tokyo, Hakone, Kamakura and Yokohama",Bus Tours,4.5,8,470.6,72.0
Sangenjaya Back Alleys Private Food and Drink Tour,Unique Experiences,5.0,5,579.2,4.0
Let's make kimono !（Kimono is a gift for you）,Art Classes,4.5,17,70.95,1.5
PRIVATE TRIP TO Mount Fuji Lake Kawaguchi Hakone (upto 9 person),Adventure Tours,5.0,13,90.5,8.5
1 Day Private Mt Fuji Sightseeing Tour Car/Van with “English Speaking Driver”,Audio Guides,5.0,3,700.0,5.5
Sake Tasting Class with a sake sommelier,Food & Drink,5.0,25,202.72,2.0
Home made Ramen and Gyoza dumplings Cooking Class,Cooking Classes,5.0,36,275.12,3.0
Private Mount Fuji Tour - Bilingual Chauffeur,Bus Tours,5.0,1,188.24,6.0
Kamakura Full-Day Private Trip (Tokyo departure) with Government-Licensed Guide,Public Transportation Tours,4.5,17,130.32,6.0
Tokyo private transfer for Narita Airport (NRT) - Toyota HIACE 9 seats,Transportation Services,5.0,5,9.0,1.2
Disneyland/Disneysea 1-Day Ticket & Private Morning Ride from Hotel in Tokyo!,Theme Parks,4.5,5,72.4,6.0
【NEW】 Sushi Making Experience + Asakusa Local Tour,Food & Drink,5.0,23,152.04,4.0
Tokyo Self-Guided Audio Tour,Historical Tours,5.0,9,94.12,12.5
"Authentic Kimono Culture Experience Dress, Walk, and Capture",Fashion Tours,5.0,5,97.02,2.5
The Best Family-Friendly Tokyo Tour with Government Licensed Guide,Public Transportation Tours,5.0,63,464.1,6.0
Tokyo Portrait Tour with a Professional Photographer,Rail Tours,4.5,11,584.99,1.5
Asakusa Cultural Walk & Matcha Making Tour,Food & Drink,4.5,12,101.36,3.0
1 Day Private Nikko World Heritage Tour (Charter) - English Speaking Driver,Bus Tours,5.0,1,700.0,11.0
Private Tokyo Tour with Government Licensed Guide & Vehicle (Max 7 persons),Bus Tours,5.0,8,115.84,6.0
Kawagoe Half-Day Private Trip with Government-Licensed Guide,Public Transportation Tours,5.0,33,209.28,4.0
Private Tokyo Sightseeing Tour - Bilingual Chauffeur,Bus Tours,3.5,6,106.34,6.0
Private Harajuku Omotesando Architecture Walking Tour,Architecture Tours,5.0,1,219.74,3.0
Tokyo Food Tours with a Local Foodie: Private & Customized to Your Tastes,Food & Drink,4.0,5,235.0,4.0
Private Departure Transfer : Central Tokyo City to Haneda Airport,Transportation Services,5.0,5,130.32,0.9
Tokyo Otaku Tour with a Local: 100% Personalized & Private,City Tours,4.5,3,86.88,4.0
Grand Sumo Tournament Tokyo - Osaka - Nagoya - Fukuoka,Historical Tours,5.0,5,65.16,4.0
Private departure transfer from Tokyo city to Tokyo Haneda Airport(HND),Transportation Services,5.0,2,55.0,0.7
Tokyo West-Side Classic Road Bike Tour,Likely To Sell Out,5.0,15,130.32,2.5
1 Hour Private Photoshoot in Tokyo,Rail Tours,5.0,6,119.46,1.0
Tokyo Like a Local: Customized Private Tour,Walking Tours,5.0,24,108.6,4.0
Akihabara Tailor-made Tour for Anime Fans,Movie Tours,5.0,8,65.16,3.5
"Elite Ninja 5 Basic Techs in Musashi Clan Asakusa Dojo, 90 min.",Unique Experiences,4.0,9,144.8,1.5
Official Street Go-Kart Tour in Asakusa,Go Kart,5.0,5,65.16,1.2
Kamakura & Enoshima - One Day Bus Tour,Bus Tours,5.0,2,86.88,6.0
Retreat Bus Tour Surrounded by beautiful Mt.Fuji,Full-day Tours,5.0,674,253.4,6.0
Manga Lesson with a Professional Japanese Manga Artist in Nakano,Historical Tours,5.0,4,50.0,2.0
Japanese Sweets (Mochi & Nerikiri) making at a Private Home in Tokyo,Food & Drink,5.0,8,36.2,2.5
Tokyo private transfer for Yokohama Port,Transportation Services,5.0,28,18.1,0.8
3-Hour Tokyo Pub Crawl Weekly Welcome Guided Tour in Shibuya,Spring Break,5.0,85,94.68,3.0
Shibuya Cycling Cruise,Bike Tours,5.0,1217,274.68,3.0
"Licensed Guide Walking Tour Featuring Club Warp Shinjuku, Tokyo, Japan",Art Tours,5.0,2,217.2,4.0
Tokyo Great Cycling Tour,Historical Tours,5.0,20,246.16,6.0
Personal Travel and Vacation Photographer Tour in Tokyo,Private and Luxury,5.0,1,70.0,2.0
Daikoku Tour & Tokyo’s Amazing JDM Car Meet,Full-day Tours,4.0,1,43.44,4.5
Experience of Samurai and Samurai license of Samurai Armor Photo Studio,Unique Experiences,5.0,14,7.24,1.5
Yanaka Walking Tour - Tokyo Old Quarter,Walking Tours,5.0,21,202.72,3.5
Tokyo Asakusa Rickshaw Tour,Unique Experiences,3.5,3,182.0,1.8
1-Hour Audio Guided Tour in Asakusa Tokyo,Historical Tours,5.0,1,97.74,1.0
Drive Tokyo & Daikoku PA. Special Rental Car with Lead Car Tour,Rentals,3.5,2,514.0,3.5
Kawaii Food Tour of Harajuku Tokyo,Fashion Shows,5.0,3,490.0,3.0
Ikebana Experience in Shinjuku,Art Classes,4.0,1,131.42,1.5
Mt. Fuji or Hakone Private Sightseeing Day Tour from Tokyo,Historical Tours,5.0,1,76.02,6.0
One Day Private Tour to Mount Fuji,4WD Tours,4.0,4,35.11,8.5
Highlights & Hidden Gems With Locals: Best of Tokyo Private Tour,Historical Tours,5.0,21,130.32,3.0
Mt Fuji Day Tour with Kawaguchiko Lake and Fifth Station,Full-day Tours,5.0,6,114.39,6.0
Traditional Glass Carving Experience in Tokyo,Craft Classes,5.0,3,23.89,1.5
Harajuku and Shibuya Evening Walking Tour,City Tours,5.0,24,86.88,2.5
Private departure transfer from Tokyo City to Narita International airport,Transportation Services,5.0,24,126.24,1.2
Private Handmade Ring Workshop Activity,Craft Classes,4.0,1,99.0,1.5
Exclusive Ramen Kitchen Experience,Food & Drink,5.0,3,298.29,1.0
Call Fukagawa Geisha to Join You on a Yakatabune Boat Trip,Historical Tours,5.0,4,176.0,2.0
Explore Tokyo Your Way: 6 Hours Private Customizable Walking Tour,Public Transportation Tours,5.0,13,716.75,6.0
Toyosu & Tsukiji tour with Sushi making workshop,Food & Drink,5.0,44,128.05,5.0
Small Group Tokyo Food Tour - A Journey Through Time Through Food,Public Transportation Tours,5.0,105,97.74,5.5
